"OBJECTIDC","OBJECTVERSIONC","LASTUSERC","UPDATETIMEC","NUM_DECIMAL_DIGITS","TEXT_DE","TEXT_EN","TEXT_ES","START_DATE","END_DATE","FXTYPE"
"SYP",0,"sysadmin",01.01.70 00:00:00,2,"Syrisches Pfund","Syrian Pound","Libra siria",01.01.70 00:00:00,,"M"
"ALL",0,"sysadmin",01.01.70 00:00:00,2,"Lek","Lek","Lek albano",01.01.70 00:00:00,,"M"
"CRC",0,"sysadmin",01.01.70 00:00:00,2,"Costa-Rica-Colon","Costa Rican Colon","Colón costarricense",01.01.70 00:00:00,,"D"
"SOS",0,"sysadmin",01.01.70 00:00:00,2,"Somalia-Schilling","Somali Shilling","Chelín somalí",01.01.70 00:00:00,,"M"
"TWD",0,"sysadmin",01.01.70 00:00:00,2,"Neuer Taiwan-Dollar","New Taiwan Dollar","Dólar taiwanés",01.01.70 00:00:00,,"D"
"CHF",0,"sysadmin",01.01.70 00:00:00,2,"Schweizer Franken","Swiss Franc","Franco suizo",01.01.70 00:00:00,,"D"
"TMM",2,"Schmachten",27.07.09 11:18:34,2,"Turkmenischer Manat","Turmenistan Manat","Manat turcomano",01.01.70 00:00:00,29.06.09 00:00:00,"M"
"OMR",0,"sysadmin",01.01.70 00:00:00,3,"Rial Omani","Rial Omani","Rial omaní (de Omán)",01.01.70 00:00:00,,"D"
"ZAR",0,"sysadmin",01.01.70 00:00:00,2,"Südafrikanische Rand","Rand","Rand sudafricano",01.01.70 00:00:00,,"D"
"XOF",0,"sysadmin",01.01.70 00:00:00,0,"CFA-Franc (BCEAO)","CFA-Franc","Franco CFA",01.01.70 00:00:00,,"M"
"PKR",0,"sysadmin",01.01.70 00:00:00,2,"Pakistanische Rupie","Pakistan Rupee","Rupia pakistaní",01.01.70 00:00:00,,"D"
"LSL",0,"sysadmin",01.01.70 00:00:00,2,"Loti","Loti","Loti lesothense (de Lesotho)",01.01.70 00:00:00,,"D"
"NOK",0,"sysadmin",01.01.70 00:00:00,2,"Norwegische Krone","Norwegian Krone","Corona noruega",01.01.70 00:00:00,,"D"
"SEK",0,"sysadmin",01.01.70 00:00:00,2,"Schwedische Krone","Swedish Krona","Corona sueca",01.01.70 00:00:00,,"D"
"DOP",0,"sysadmin",01.01.70 00:00:00,2,"Dominikanischer Peso","Dominican Peso","Peso dominicano",01.01.70 00:00:00,,"D"
"FKP",0,"sysadmin",01.01.70 00:00:00,2,"Falkland-Pfund","Falkland Island Pound","Libra malvinense",01.01.70 00:00:00,,"M"
"GIP",0,"sysadmin",01.01.70 00:00:00,2,"Gibraltar-Pfund","Gibraltar Pound","Libra de Gibraltar",01.01.70 00:00:00,,"M"
"UAH",0,"sysadmin",01.01.70 00:00:00,2,"Hryvnia","Griwna","Hryvnia ucraniana",01.01.70 00:00:00,,"D"
"JMD",0,"sysadmin",01.01.70 00:00:00,2,"Jamaika-Dollar","Jamaican Dollar","Dólar jamaicano",01.01.70 00:00:00,,"M"
"AUD",0,"sysadmin",01.01.70 00:00:00,2,"Australischer Dollar/Kiribati","Australian Dollar","Dólar australiano",01.01.70 00:00:00,,"D"
"BSD",0,"sysadmin",01.01.70 00:00:00,2,"Bahama-Dollar","Bahamian Dollar","Dólar bahameño",01.01.70 00:00:00,,"M"
"MZM",3,"Werkstud3",25.09.08 14:47:34,2,"Metical","Metical (replaced by MZN)","Metical mozambiqueño",01.01.70 00:00:00,30.06.06 00:00:00,"M"
"FRF",1,"Schmachten",22.08.08 09:02:38,2,"Französische Franc (ersetzt durch EUR)","French Franc (substituted by EUR)","Franco francés (sustituido por EUR)",01.01.70 00:00:00,31.07.08 00:00:00,"M"
"PAB",0,"sysadmin",01.01.70 00:00:00,2,"Balboa","Balboa","Balboa panameña",01.01.70 00:00:00,,"M"
"BIF",0,"sysadmin",01.01.70 00:00:00,0,"Burundi-Franc","Burundi Franc","Franco burundés",01.01.70 00:00:00,,"M"
"INR",0,"sysadmin",01.01.70 00:00:00,2,"Indische Rupie","Indian Rupee","Rupia india",01.01.70 00:00:00,,"D"
"CZK",0,"sysadmin",01.01.70 00:00:00,2,"Tschechische Krone","Czech Koruna","Koruna checo",01.01.70 00:00:00,,"D"
"GHS",1,"Stich.L",21.12.09 12:49:43,2,"Neue Ghanaische Cedi","New Ghanaian Cedi","Cedi ghanés",01.07.07 00:00:00,,"D"
"LRD",0,"sysadmin",01.01.70 00:00:00,2,"Liberianischer Dollar","Liberian Dollar","Dólar liberiano",01.01.70 00:00:00,,"M"
"BRL",0,"sysadmin",01.01.70 00:00:00,2,"Brasilianischer Real","Brazilian Real","Real brasileño",01.01.70 00:00:00,,"D"
"IDR",0,"sysadmin",01.01.70 00:00:00,2,"Indonesische Rupiah","Rupiah","Rupiah indonesia",01.01.70 00:00:00,,"D"
"TMT",0,"Schmachten",17.06.09 10:52:42,2,"Turkmenischer Manat","Turmenistan Manat","Manat turcomano",30.06.09 00:00:00,,"M"
"SDD",1,"Schmachten",22.08.08 09:06:02,2,"Sudanesischer Dinar (ersetzt durch SDG)","Sudanese Dinar (substituted by SDG)","Dinar sudanés (sustituido por RUB)",01.01.70 00:00:00,31.07.08 00:00:00,"M"
"MYR",0,"sysadmin",01.01.70 00:00:00,2,"Malaysischer Ringgit","Malaysian Ringgit","Ringgit malayo",01.01.70 00:00:00,,"D"
"FJD",0,"sysadmin",01.01.70 00:00:00,2,"Fidschi-Dollar","Fiji Dollar","Dólar fijiano",01.01.70 00:00:00,,"M"
"USD",0,"sysadmin",01.01.70 00:00:00,2,"US-Dollar","US Dollar","Dólar estadounidense",01.01.70 00:00:00,,"D"
"MOP",0,"sysadmin",01.01.70 00:00:00,2,"Pataca","Pataca","Pataca de Macao",01.01.70 00:00:00,,"M"
"EUR",0,"sysadmin",01.01.70 00:00:00,2,"Euro","Euro","Euro",01.01.70 00:00:00,,"M"
"CYP",1,"Schmachten",22.08.08 09:05:54,2,"Zypern-Pfund (ersetzt durch EUR)","Cyprus Pound (substituted by EUR)","Libra chipriota (sustituido por EUR)",01.01.70 00:00:00,31.07.08 00:00:00,"M"
"BHD",0,"sysadmin",01.01.70 00:00:00,3,"Bahrain-Dinar","Bahraini Dinar","Dinar bahreiní",01.01.70 00:00:00,,"D"
"SCR",0,"sysadmin",01.01.70 00:00:00,2,"Seychellen-Rupie","Seychelles Rupee","Rupia de Seychelles",01.01.70 00:00:00,,"M"
"COP",0,"sysadmin",01.01.70 00:00:00,2,"Kolumbianischer Peso","Colombian Peso","Peso colombiano",01.01.70 00:00:00,,"D"
"XCD",0,"sysadmin",01.01.70 00:00:00,2,"Ostkaribischer Dollar","East Caribbean Dollar","Dólar del Caribe Oriental",01.01.70 00:00:00,,"M"
"KRW",1,"0;C8GW;nEb",17.09.10 07:52:23,2,"Südkoreanische Won","Won","Won surcoreano",01.01.70 00:00:00,,"D"
"MXN",0,"sysadmin",01.01.70 00:00:00,2,"Mexikanischer Peso","Mexican Peso","Peso mexicano",01.01.70 00:00:00,,"D"
"BGN",0,"sysadmin",01.01.70 00:00:00,2,"Lew","Bulgarian Lev","Lev búlgaro",01.01.70 00:00:00,,"D"
"TJS",0,"sysadmin",01.01.70 00:00:00,2,"Somoni","Somoni","Rublo tayik (de Tayikistán)",01.01.70 00:00:00,,"M"
"RON",0,"sysadmin",01.01.70 00:00:00,2,"Neuer Leu","New Romanian Leu","Leu rumano",01.01.70 00:00:00,,"D"
"TRY",2,"Schmachten",02.02.09 16:26:59,2,"Neue Türkische Lira","New Turkish Lira","Nueva lira turca",01.01.05 00:00:00,,"D"
"MGA",0,"sysadmin",01.01.70 00:00:00,2,"Ariary","Malagascy Ariary","Ariary malgache (de Madagascar)",01.01.70 00:00:00,,"M"
"AFN",1,"0;BaL8qjtI",17.02.11 16:19:55,2,"Afghani","Afghani","Afgani",01.01.70 00:00:00,,"D"
"SRD",0,"sysadmin",01.01.70 00:00:00,2,"Suriname Dollar","Surinam Dollar","Dólar surinamés",01.01.70 00:00:00,,"M"
"RSD",1,"0;BaL8qjtI",17.02.11 16:19:15,2,"Serbischer Dinar","Serbian Dinar","Dinar serbio",01.01.70 00:00:00,,"D"
"MZN",1,"Werkstud3",25.09.08 14:46:55,2,"Metical","Metical","Metical mozambiqueño",01.07.06 00:00:00,,"D"
"VEF",1,"Werkstud3",25.09.08 14:44:15,2,"Bolivar Fuerte","Bolivar Fuerte","Bolívar Fuerte",01.01.08 00:00:00,,"D"
"SDG",0,"sysadmin",01.01.70 00:00:00,2,"Sudanesisches Pfund","Sudanese Pound","Libra sudanés",01.01.70 00:00:00,,"M"
"AZN",0,"sysadmin",01.01.70 00:00:00,2,"Aserbaidschan-Manat","Azerbaijanian Manat","Manat azerbaiyano",01.01.70 00:00:00,,"M"
